,is F,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,Intro,Photo,Assistant Organizer,Mailing List
108,,"February 11, 2018","February 21, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
109,1.0,"June 1, 2018","June 1, 2018",,1.0,1.0,0.0,0.0,0.0,No,No,No,Yes
110,,"February 14, 2018","February 27, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
111,1.0,"March 6, 2018","March 6, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
112,,"February 5, 2018","February 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
113,,"February 12, 2018","February 22, 2018",,1.0,0.0,0.0,1.0,0.0,No,Yes,No,Yes
114,,"January 17, 2018","January 17, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
115,,"February 15, 2018","June 15, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
116,,"February 15, 2018","March 1, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
117,,"August 11, 2017","June 15, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
118,,"November 18, 2017","February 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
119,1.0,"February 25, 2018","June 4, 2018","March 2, 2018",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
120,,"January 11, 2018","January 11, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
121,,"February 25, 2018","March 5, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
122,,"October 11, 2017","October 11, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
123,1.0,"April 5, 2018","June 4, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
